"","DU","Year","Abd"
"896","Stock16",2007,16070.16075
"897","Stock16",2008,10793.39155
"898","Stock16",2009,13737.58891
"899","Stock16",2010,4419.294207
"900","Stock16",2011,5525.017207
"901","Stock16",2012,8035.080376
"902","Stock16",2013,7760.448524
"903","Stock16",2014,17269.42648
"904","Stock16",2015,24879.96679
"905","Stock16",2016,16957.61739
"906","Stock16",2017,16438.33533
"907","Stock17",1964,NA
"908","Stock17",1965,NA
"909","Stock17",1966,NA
"910","Stock17",1967,NA
"911","Stock17",1968,NA
"912","Stock17",1969,NA
"913","Stock17",1970,1600
"914","Stock17",1971,NA
"915","Stock17",1972,600
"916","Stock17",1973,6000
"917","Stock17",1975,66
"918","Stock17",1981,NA
"919","Stock17",1982,NA
"920","Stock17",1983,NA
"921","Stock17",1984,NA
"922","Stock17",1985,NA
"923","Stock17",1986,NA
"924","Stock17",1987,1500
"925","Stock17",1988,100
"926","Stock17",1989,400
"927","Stock17",1990,60
"928","Stock17",1991,300
"929","Stock17",1992,500
"930","Stock17",1993,400
"931","Stock17",1994,NA
"932","Stock17",1995,NA
"933","Stock17",1996,100
"934","Stock17",1997,220
"935","Stock17",1998,500
"936","Stock17",1999,500
"937","Stock17",2000,400
"938","Stock17",2001,200
"939","Stock17",2002,100
"940","Stock17",2003,2000
"941","Stock17",2004,600
"942","Stock17",2005,290
"943","Stock17",2006,120
"944","Stock17",2007,300
"945","Stock17",2008,100
"946","Stock17",2009,410
"947","Stock17",2010,592
"948","Stock17",2011,880
"949","Stock17",2012,NA
"950","Stock17",2013,NA
"951","Stock17",2014,NA
"952","Stock17",2017,1124
"953","Stock18",1960,33540.68182
"954","Stock18",1961,58587.90885
"955","Stock18",1962,37325.95245
"956","Stock18",1963,63954.95098
"957","Stock18",1964,119865.9221
"958","Stock18",1965,31037.05147
"959","Stock18",1966,21463
"960","Stock18",1967,31742
"961","Stock18",1968,22284
"962","Stock18",1969,43526
"963","Stock18",1970,28978
"964","Stock18",1971,30443
"965","Stock18",1972,73911
"966","Stock18",1973,100183
"967","Stock18",1974,96197
"968","Stock18",1975,97498.63687
"969","Stock18",1976,50192
"970","Stock18",1977,89757
"971","Stock18",1978,27964
"972","Stock18",1979,135745
"973","Stock18",1980,57655
"974","Stock18",1981,256141
"975","Stock18",1982,122051.6162
"976","Stock18",1983,112844.6413
"977","Stock18",1984,219484.2079
"978","Stock18",1985,216567.6108
"979","Stock18",1986,132930.3406
"980","Stock18",1987,302165.9726
"981","Stock18",1988,173803.3538
"982","Stock18",1989,106907.5697
"983","Stock18",1990,127099.656
"984","Stock18",1991,224976.0984
"985","Stock18",1992,198087.2925
"986","Stock18",1993,251782.5651
"987","Stock18",1994,136482.421
"988","Stock18",1995,243069.007
"989","Stock18",1996,210609.3275
"990","Stock18",1997,120916.4976
"991","Stock18",1998,62357
"992","Stock18",1999,128989.3909
"993","Stock18",2000,130236.4941
"994","Stock18",2001,99115.74243
"995","Stock18",2002,95248.95855
"996","Stock18",2003,147068.1326
"997","Stock18",2004,102159.9423
"998","Stock18",2005,128931
"999","Stock18",2006,174653.8622
"1000","Stock18",2007,170675.1421
"1001","Stock18",2008,139316.3535
"1002","Stock18",2009,130985.5698
"1003","Stock18",2010,119148
"1004","Stock18",2011,151767.6622
"1005","Stock18",2012,110011.9483
"1006","Stock18",2013,30151
"1007","Stock18",2014,78550.215
"1008","Stock18",2015,66027.41866
"1009","Stock18",2016,69562.71284
"1010","Stock18",2017,92963.18185
"1011","Stock19",2001,139
"1012","Stock19",2002,10
"1013","Stock19",2003,130
"1014","Stock19",2004,208
"1015","Stock19",2005,41
"1016","Stock19",2007,20
"1017","Stock19",2008,105
"1018","Stock19",2009,83
"1019","Stock19",2010,4
"1020","Stock19",2011,160
"1021","Stock19",2012,90
"1022","Stock19",2015,170
"1023","Stock19",2016,285
"1024","Stock19",2017,91
"1025","Stock20",2000,949
"1026","Stock20",2001,855
"1027","Stock20",2002,398
"1028","Stock20",2003,430
"1029","Stock20",2004,293
"1030","Stock20",2005,216
"1031","Stock20",2006,331
"1032","Stock20",2007,366
"1033","Stock20",2008,150
"1034","Stock20",2009,161
"1035","Stock20",2010,740
"1036","Stock20",2011,687
"1037","Stock20",2012,940
"1038","Stock20",2013,93
"1039","Stock20",2014,401
"1040","Stock20",2015,1281
"1041","Stock20",2016,267
"1042","Stock20",2017,366
"1043","Stock21",1954,NA
"1044","Stock21",1955,NA
"1045","Stock21",1956,NA
"1046","Stock21",1957,NA
"1047","Stock21",1958,NA
"1048","Stock21",1959,NA
"1049","Stock21",1960,15470.35842
"1050","Stock21",1961,1673.289117
"1051","Stock21",1962,2.231052155
"1052","Stock21",1963,10446.74335
"1053","Stock21",1964,23132.0343
"1054","Stock21",1965,11566.01715
"1055","Stock21",1966,23132.0343
"1056","Stock21",1967,37437.86442
"1057","Stock21",1968,7808.682544
"1058","Stock21",1969,27594.13861
"1059","Stock21",1970,13084.80416
"1060","Stock21",1971,27594.13861
"1061","Stock21",1972,27594.13861
"1062","Stock21",1973,17701.41058
"1063","Stock21",1974,17701.41058
"1064","Stock21",1975,17701.41058
"1065","Stock21",1976,1222.178463
"1066","Stock21",1977,13084.80416
"1067","Stock21",1978,446.2104311
"1068","Stock21",1979,27594.13861
"1069","Stock21",1980,16585.8845
"1070","Stock21",1981,33073.76455
"1071","Stock21",1982,37535.86887
"1072","Stock21",1983,NA
"1073","Stock21",1984,40784.44265
"1074","Stock21",1985,41289.45575
"1075","Stock21",1986,40784.44265
"1076","Stock21",1987,74875.72884
"1077","Stock21",1988,85834.98073
"1078","Stock21",1989,34189.29063
"1079","Stock21",1990,40784.44265
"1080","Stock21",1991,55090.27278
"1081","Stock21",1992,79337.83315
"1082","Stock21",1993,63916.47695
"1083","Stock21",1994,NA
"1084","Stock21",1995,30639.20807
"1085","Stock21",1996,28873.96724
"1086","Stock21",1997,2677.262587
"1087","Stock21",1998,NA
"1088","Stock21",1999,26576.61698
"1089","Stock21",2000,NA
"1090","Stock21",2001,25885.61547
"1091","Stock21",2002,10851.45723
"1092","Stock21",2003,23733.33862
"1093","Stock21",2004,18314.76764
"1094","Stock21",2005,10898.97611
"1095","Stock21",2006,25202.34452
"1096","Stock21",2007,11327.0168
"1097","Stock21",2008,13161.42006
"1098","Stock21",2009,21648.66133
"1099","Stock21",2010,4262.887182
"1100","Stock21",2011,7437.871342
"1101","Stock21",2012,12882.65084
"1102","Stock21",2013,3792.788664
"1103","Stock21",2014,4238.999095
"1104","Stock21",2015,24779.4654
"1105","Stock21",2016,14609.08098
"1106","Stock21",2017,8568.268243
"1107","Stock22",1983,391.8367347
"1108","Stock22",1984,228.5714286
"1109","Stock22",1985,391.8367347
"1110","Stock22",2005,680
"1111","Stock22",2006,133
"1112","Stock22",2007,162
"1113","Stock22",2008,75
"1114","Stock22",2009,111
"1115","Stock22",2010,80
"1116","Stock22",2012,6
"1117","Stock22",2014,209
"1118","Stock22",2015,550
"1119","Stock22",2016,2130
"1120","Stock22",2017,237
