"DU","Year","Var","pchange","probdecl","slope","intercept"
"Hirundinidae2_BC",2019,"RStanArm_Rhat",NA,NA,1.00088,1.00193
"Hirundinidae2_CA-BC-10",2019,"MLE",-26.09966,NA,-0.01375,0.91405
"Hirundinidae2_CA-BC-10",2019,"Jags_p2.5",-32.0181874355221,NA,-0.01754,0.86701
"Hirundinidae2_CA-BC-10",2019,"Jags_p25",-28.0247672932866,NA,-0.01495,0.89802
"Hirundinidae2_CA-BC-10",2019,"Jags_Med",-26.1745366013813,64.66667,-0.01379,0.91379
"Hirundinidae2_CA-BC-10",2019,"Jags_p75",-24.0157948148288,NA,-0.01248,0.92957
"Hirundinidae2_CA-BC-10",2019,"Jags_p97.5",-19.7389733227305,NA,-0.00999,0.96365
"Hirundinidae2_CA-BC-10",2019,"Jags_Rhat",NA,NA,1.00051,1.00058
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p2.5",-21.5732467805644,NA,-0.01057,0.80523
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p25",-18.1279092540389,NA,-0.0087,0.83407
"Hirundinidae2_CA-BC-10",2019,"RStanArm_Med",-16.5217804317394,0.25,-0.00785,0.84807
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p75",-14.9987340621858,NA,-0.00707,0.86319
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p97.5",-11.7017304017534,NA,-0.00541,0.89413
"Hirundinidae2_CA-BC-10",2019,"RStanArm_Rhat",NA,NA,1.0004,1.00127
"Hirundinidae2_CA-BC-5",2019,"MLE",-78.33452,NA,-0.06952,-2.20897
"Hirundinidae2_CA-BC-5",2019,"Jags_p2.5",1.34179766820755,NA,-0.07384,-2.26048
"Hirundinidae2_CA-BC-5",2019,"Jags_p25",1.42223273058718,NA,-0.07086,-2.22652
"Hirundinidae2_CA-BC-5",2019,"Jags_Med",1.46781398075691,0,-0.06953,-2.2088
"Hirundinidae2_CA-BC-5",2019,"Jags_p75",1.51276457708435,NA,-0.06827,-2.1916
"Hirundinidae2_CA-BC-5",2019,"Jags_p97.5",1.61421114077156,NA,-0.06549,-2.1541
"Hirundinidae2_CA-BC-5",2019,"Jags_Rhat",NA,NA,1.00487,1.00338
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p2.5",0.597142128522779,NA,-0.04503,-2.76932
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p25",0.718589996768326,NA,-0.03693,-2.6651
"Hirundinidae2_CA-BC-5",2019,"RStanArm_Med",0.802666581688084,0,-0.03331,-2.6034
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p75",0.893437127122164,NA,-0.03042,-2.54292
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p97.5",1.14208671423734,NA,-0.02523,-2.40236
"Hirundinidae2_CA-BC-5",2019,"RStanArm_Rhat",NA,NA,1.00335,1.00323
"Hirundinidae2_CA-BC-6",2019,"MLE",-93.80584,NA,-0.12643,-2.32932
"Hirundinidae2_CA-BC-6",2019,"Jags_p2.5",0.89746644509587,NA,-0.13106,-2.38952
"Hirundinidae2_CA-BC-6",2019,"Jags_p25",0.966937174813301,NA,-0.12789,-2.35045
"Hirundinidae2_CA-BC-6",2019,"Jags_Med",1.00512815870532,0,-0.12635,-2.33017
"Hirundinidae2_CA-BC-6",2019,"Jags_p75",1.04433539244674,NA,-0.12479,-2.31031
"Hirundinidae2_CA-BC-6",2019,"Jags_p97.5",1.12703615585756,NA,-0.12172,-2.27009
"Hirundinidae2_CA-BC-6",2019,"Jags_Rhat",NA,NA,1.00244,1.01325
"Hirundinidae2_CA-BC-6",2019,"RStanArm_p2.5",0.156032532000832,NA,-0.08044,-3.35693
"Hirundinidae2_CA-BC-6",2019,"RStanArm_p25",0.228772180286258,NA,-0.06668,-3.16129
"Hirundinidae2_CA-BC-6",2019,"RStanArm_Med",0.279147927887537,0,-0.06062,-3.05248
"Hirundinidae2_CA-BC-6",2019,"RStanArm_p75",0.344841651009631,NA,-0.05513,-2.93908
"Hirundinidae2_CA-BC-6",2019,"RStanArm_p97.5",0.539054519800172,NA,-0.04523,-2.69665
"Hirundinidae2_CA-BC-6",2019,"RStanArm_Rhat",NA,NA,1.0029,1.00327
"Hirundinidae2_CA-BC-9",2019,"MLE",-82.11309,NA,-0.07823,1.76014
"Hirundinidae2_CA-BC-9",2019,"Jags_p2.5",-83.4172743032735,NA,-0.08167,1.71659
"Hirundinidae2_CA-BC-9",2019,"Jags_p25",-82.5340998147532,NA,-0.07931,1.74516
"Hirundinidae2_CA-BC-9",2019,"Jags_Med",-82.0933641622133,100,-0.07818,1.75936
"Hirundinidae2_CA-BC-9",2019,"Jags_p75",-81.6611749619578,NA,-0.0771,1.77408
"Hirundinidae2_CA-BC-9",2019,"Jags_p97.5",-80.6923877588964,NA,-0.07476,1.8056
"Hirundinidae2_CA-BC-9",2019,"Jags_Rhat",NA,NA,1.00437,1.00153
"Hirundinidae2_CA-BC-9",2019,"RStanArm_p2.5",-68.2689620669539,NA,-0.04991,1.12405
"Hirundinidae2_CA-BC-9",2019,"RStanArm_p25",-61.2777272045782,NA,-0.04125,1.24292
"Hirundinidae2_CA-BC-9",2019,"RStanArm_Med",-57.8402873326208,99.975,-0.03755,1.30859
"Hirundinidae2_CA-BC-9",2019,"RStanArm_p75",-54.377243270232,NA,-0.03412,1.38293
"Hirundinidae2_CA-BC-9",2019,"RStanArm_p97.5",-47.8640050767393,NA,-0.02832,1.54033
"Hirundinidae2_CA-BC-9",2019,"RStanArm_Rhat",NA,NA,1.00091,1.0009
"Hirundinidae2_Continental",2019,"MLE",-12.32612,NA,-0.00598,0.99685
"Hirundinidae2_Continental",2019,"Jags_p2.5",-22.4689636126548,NA,-0.01157,0.91709
"Hirundinidae2_Continental",2019,"Jags_p25",-15.8796936891531,NA,-0.00786,0.97111
"Hirundinidae2_Continental",2019,"Jags_Med",-12.097676183112,1.03333,-0.00586,0.99631
"Hirundinidae2_Continental",2019,"Jags_p75",-8.24766168925723,NA,-0.00391,1.02166
"Hirundinidae2_Continental",2019,"Jags_p97.5",0.419184522239505,NA,0.00019,1.07292
"Hirundinidae2_Continental",2019,"Jags_Rhat",NA,NA,1.00383,1.00133
"Hirundinidae2_Continental",2019,"RStanArm_p2.5",-20.4126982994192,NA,-0.00993,0.92384
"Hirundinidae2_Continental",2019,"RStanArm_p25",-15.7153148840883,NA,-0.00743,0.97292
"Hirundinidae2_Continental",2019,"RStanArm_Med",-12.7053282846397,0.125,-0.00591,0.99492
"Hirundinidae2_Continental",2019,"RStanArm_p75",-9.16730538673736,NA,-0.00418,1.01621
"Hirundinidae2_Continental",2019,"RStanArm_p97.5",-1.10009601361304,NA,-0.00048,1.05756
"Hirundinidae2_Continental",2019,"RStanArm_Rhat",NA,NA,1.00086,1.00096
